2800;26/11/2024;1;13;19;46;50;57
2799;23/11/2024;1;31;38;40;45;60
2798;19/11/2024;3;9;18;54;59;60
2797;16/11/2024;1;3;15;25;45;52
2796;13/11/2024;3;6;14;33;55;58
2795;09/11/2024;13;16;33;43;46;55
2794;07/11/2024;3;9;14;20;28;52
2793;05/11/2024;7;9;25;37;57;59
2792;01/11/2024;16;22;33;34;49;59
2791;29/10/2024;2;3;11;25;37;43
2790;26/10/2024;29;32;40;42;49;58
2789;24/10/2024;3;17;18;19;20;55
2788;22/10/2024;23;37;39;47;52;56
2787;19/10/2024;8;10;23;34;36;50
2786;16/10/2024;6;11;17;20;40;51
2785;11/10/2024;20;27;48;50;57;59
2784;08/10/2024;27;30;35;44;57;59
2783;05/10/2024;7;30;38;39;43;54
2782;03/10/2024;6;11;16;25;28;45
2781;01/10/2024;10;31;35;45;50;55
2780;28/09/2024;7;9;10;14;46;53
2779;26/09/2024;14;19;32;44;51;54
2778;24/09/2024;20;33;34;40;43;57
2777;21/09/2024;2;13;21;38;42;52
2776;19/09/2024;5;17;22;37;51;52
2775;17/09/2024;1;4;14;26;44;51
2774;14/09/2024;6;16;22;24;38;50
2773;12/09/2024;19;23;32;34;38;57
2772;10/09/2024;1;12;33;41;53;56
2771;06/09/2024;7;13;14;33;38;50
2770;03/09/2024;21;28;37;44;50;60
2769;31/08/2024;10;16;35;46;49;60
2768;29/08/2024;2;12;18;28;32;33
2767;27/08/2024;14;21;42;47;50;59
2766;24/08/2024;9;10;34;36;38;44
2765;22/08/2024;8;12;34;39;43;47
2764;20/08/2024;20;31;34;38;42;51
2763;17/08/2024;15;16;19;43;44;49
2762;15/08/2024;1;17;30;40;48;50
2761;13/08/2024;3;22;34;44;49;57
2760;10/08/2024;8;11;19;39;47;48
2759;08/08/2024;3;10;38;40;48;59
2758;06/08/2024;19;35;36;37;41;60
2757;03/08/2024;1;21;37;40;51;54
2756;01/08/2024;1;6;13;18;43;46
2755;30/07/2024;7;13;17;33;41;58
2754;27/07/2024;10;14;44;55;56;58
2753;25/07/2024;6;26;31;46;52;55
2752;23/07/2024;4;15;24;40;44;47
2751;20/07/2024;4;13;18;42;52;53
2750;18/07/2024;7;11;12;19;36;52
2749;16/07/2024;8;25;27;38;43;44
2748;13/07/2024;19;32;43;46;50;52
2747;10/07/2024;14;17;24;28;36;45
2746;06/07/2024;22;27;30;43;51;56
2745;04/07/2024;2;5;7;11;52;57
2744;02/07/2024;10;25;26;33;34;38
2743;29/06/2024;13;25;27;30;37;53
2742;27/06/2024;2;11;25;32;37;57
2741;25/06/2024;1;33;35;39;42;56
2740;22/06/2024;13;16;17;34;41;47
2739;20/06/2024;19;25;37;45;47;53
2738;18/06/2024;2;19;25;44;46;60
2737;15/06/2024;16;20;30;34;37;45
2736;13/06/2024;11;17;24;26;35;43
2735;11/06/2024;5;33;46;47;53;59
2734;08/06/2024;21;27;35;48;59;60
2733;06/06/2024;14;20;21;39;44;56
2732;04/06/2024;1;3;16;18;49;60
2731;01/06/2024;4;12;32;45;49;58
2730;28/05/2024;7;24;29;41;46;60
2729;25/05/2024;20;27;41;47;53;54
2728;23/05/2024;2;9;11;25;43;51
2727;21/05/2024;4;32;39;48;51;57
2726;18/05/2024;27;45;49;53;55;59
2725;16/05/2024;2;10;32;33;38;47
2724;14/05/2024;11;21;24;26;42;54
2723;11/05/2024;6;12;19;28;50;60
2722;09/05/2024;19;23;25;36;44;46
2721;07/05/2024;9;10;11;25;46;48
2720;04/05/2024;8;15;16;23;42;43
2719;30/04/2024;16;25;27;30;42;48
2718;27/04/2024;6;30;34;41;46;59
2717;25/04/2024;6;22;34;36;44;50
2716;23/04/2024;5;20;27;28;48;49
2715;20/04/2024;7;19;25;46;50;53
2714;18/04/2024;16;17;42;45;52;57
2713;16/04/2024;9;23;25;26;35;58
2712;13/04/2024;7;15;19;35;40;42
2711;11/04/2024;14;36;38;46;55;60
2710;09/04/2024;5;6;25;42;44;50
2709;06/04/2024;12;22;23;24;47;53
2708;04/04/2024;10;11;12;19;23;28
2707;02/04/2024;7;9;11;39;54;57
2706;30/03/2024;10;11;17;24;30;45
2705;26/03/2024;2;16;22;27;35;47
2704;23/03/2024;3;7;10;25;31;52
2703;21/03/2024;3;7;11;35;38;56
2702;19/03/2024;6;13;20;34;40;46
2701;16/03/2024;6;15;18;31;32;47
2700;14/03/2024;1;11;19;20;28;48
2699;12/03/2024;9;23;31;49;54;58
2698;09/03/2024;2;18;19;35;45;60
2697;07/03/2024;10;11;13;25;27;42
2696;05/03/2024;4;13;18;39;55;59
2695;02/03/2024;15;17;32;33;34;40
2694;29/02/2024;7;20;22;29;41;58
2693;27/02/2024;11;29;44;45;46;50
2692;24/02/2024;9;33;45;55;56;59
2691;22/02/2024;13;15;28;37;40;57
2690;20/02/2024;9;28;33;43;45;55
2689;17/02/2024;9;16;20;47;48;52
2688;15/02/2024;12;17;33;41;46;54
2687;10/02/2024;2;4;24;30;34;50
2686;08/02/2024;6;12;20;41;43;59
2685;06/02/2024;9;16;31;46;47;51
2684;03/02/2024;17;26;45;46;48;53
2683;01/02/2024;1;3;23;27;47;57
2682;30/01/2024;4;17;29;30;52;58
2681;27/01/2024;10;20;30;42;47;53
